,Station 1,Station 2,Station 3
0,0.053,0.004,0.005
1,0.051,0.004,0.005
2,0.04,0.004,0.005
3,0.034,0.004,0.005
4,0.027,0.004,0.005
5,0.023,0.004,0.005
6,0.02,0.004,0.005
7,0.018,0.004,0.005
8,0.017,0.004,0.005
9,0.016,0.004,0.005
10,0.015,0.004,0.005
11,0.014,0.004,0.005
12,0.014,0.004,0.005
13,0.013,0.004,0.005
14,0.012,0.004,0.005
15,0.012,0.003,0.005
16,0.011,0.003,0.005
17,0.01,0.003,0.005
18,0.01,0.003,0.005
19,0.01,0.003,0.005
20,0.009,0.003,0.005
21,0.009,0.003,0.005
22,0.009,0.003,0.005
23,0.008,0.003,0.005
24,0.008,0.003,0.005
25,0.008,0.003,0.005
26,0.008,0.003,0.005
27,0.007,0.003,0.005
28,0.007,0.003,0.005
29,0.007,0.003,0.005
30,0.007,0.003,0.005
31,0.007,0.003,0.005
32,0.007,0.003,0.005
33,0.006,0.003,0.004
34,0.006,0.003,0.004
35,0.006,0.003,0.004
36,0.006,0.003,0.004
37,0.006,0.003,0.004
38,0.005,0.003,0.004
39,0.005,0.003,0.004
40,0.005,0.002,0.004
41,0.005,0.002,0.004
42,0.005,0.002,0.004
43,0.005,0.002,0.004
44,0.005,0.002,0.004
45,0.005,0.002,0.004
46,0.005,0.002,0.004
47,0.005,0.002,0.004
48,0.005,0.002,0.004
49,0.004,0.002,0.004
50,0.004,0.002,0.004
51,0.004,0.002,0.004
52,0.004,0.002,0.004
53,0.004,0.002,0.004
54,0.004,0.002,0.004
55,0.004,0.002,0.004
56,0.004,0.002,0.004
57,0.004,0.002,0.004
58,0.004,0.002,0.004
59,0.004,0.002,0.003
60,0.003,0.002,0.003
61,0.003,0.002,0.003
62,0.003,0.002,0.003
63,0.003,0.002,0.003
64,0.003,0.002,0.003
65,0.003,0.002,0.003
66,0.003,0.002,0.003
67,0.003,0.002,0.003
68,0.003,0.002,0.003
69,0.003,0.002,0.003
70,0.003,0.002,0.003
71,0.003,0.002,0.003
72,0.003,0.002,0.003
73,0.003,0.002,0.003
74,0.003,0.002,0.003
75,0.003,0.002,0.003
76,0.003,0.002,0.003
77,0.003,0.002,0.003
78,0.003,0.002,0.003
79,0.003,0.002,0.003
80,0.003,0.002,0.003
81,0.003,0.002,0.003
82,0.002,0.002,0.003
83,0.002,0.002,0.003
84,0.002,0.002,0.003
85,0.002,0.002,0.003
86,0.002,0.001,0.002
87,0.002,0.001,0.002
88,0.002,0.001,0.002
89,0.002,0.001,0.002
90,0.002,0.001,0.002
91,0.002,0.001,0.002
92,0.002,0.001,0.002
93,0.002,0.001,0.002
94,0.002,0.001,0.002
95,0.002,0.001,0.002
96,0.002,0.001,0.002
97,0.002,0.001,0.002
98,0.002,0.001,0.002
99,0.002,0.001,0.002
100,0.002,0.001,0.002
